PFBCOLO CB Equity;ECOPETL CB Equity;GRUPOSUR CB Equity;BCOLO CB Equity;ISA CB Equity;NUTRESA CB Equity;GEB CB Equity;GRUPOARG CB Equity;PFAVAL CB Equity;PFGRUPSU CB Equity;PFDAVVND CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;EXITO CB Equity;BOGOTA CB Equity;CELSIA CB Equity;CORFICOL CB Equity;PFCEMARG CB Equity;CLH CB Equity;AVAL CB Equity;PFAVH CB Equity;BVC CB Equity;CNEC CB Equity;CONCONC CB Equity;ETB CB Equity
 27.040 ; 1.465 ; 38.600 ; 25.360 ; 8.770 ; 25.780 ; 1.870 ; 18.680 ; 1.165 ; 38.080 ; 26.200 ; 11.760 ; 17.600 ; 15.560 ; 62.240 ; 3.877 ; 36.559 ; 10.940 ; 13.200 ; 1.180 ; 2.130 ; 9.000 ; 9.030 ; 1.170 ; 595 
 27.300 ; 1.405 ; 38.400 ; 25.120 ; 8.700 ; 25.040 ; 1.840 ; 18.000 ; 1.170 ; 38.000 ; 26.400 ; 11.600 ; 17.000 ; 15.420 ; 61.540 ; 3.837 ; 36.080 ; 11.040 ; 13.000 ; 1.170 ; 2.105 ; 8.800 ; 8.850 ; 1.160 ; 600 
 26.900 ; 1.415 ; 37.700 ; 25.060 ; 8.700 ; 25.780 ; 1.845 ; 17.700 ; 1.160 ; 37.560 ; 25.900 ; 11.800 ; 17.000 ; 15.200 ; 62.000 ; 3.778 ; 36.157 ; 11.000 ; 13.000 ; 1.170 ; 2.055 ; 8.600 ; 8.590 ; 1.225 ; 600 
 27.000 ; 1.400 ; 37.600 ; 25.400 ; 8.760 ; 25.540 ; 1.845 ; 17.780 ; 1.155 ; 37.300 ; 25.700 ; 11.680 ; 17.000 ; 15.340 ; 61.980 ; 3.857 ; 36.157 ; 10.960 ; 12.960 ; 1.200 ; 2.075 ; 8.750 ; 8.670 ; 1.200 ; 605 
 27.200 ; 1.395 ; 37.780 ; 25.400 ; 8.850 ; 25.200 ; 1.875 ; 18.000 ; 1.160 ; 37.420 ; 25.700 ; 11.740 ; 17.220 ; 15.260 ; 61.040 ; 3.857 ; 36.176 ; 11.000 ; 12.900 ; 1.155 ; 2.080 ; 8.750 ; 8.660 ; 1.180 ; 608 
 26.680 ; 1.385 ; 37.700 ; 24.820 ; 8.930 ; 25.180 ; 1.900 ; 18.000 ; 1.155 ; 37.280 ; 25.300 ; 11.860 ; 17.200 ; 15.180 ; 59.000 ; 3.828 ; 36.826 ; 11.000 ; 13.120 ; 1.180 ; 2.065 ; 8.750 ; 8.640 ; 1.145 ; 608 
 25.760 ; 1.410 ; 37.200 ; 24.080 ; 8.900 ; 25.120 ; 1.895 ; 17.700 ; 1.165 ; 36.900 ; 25.120 ; 11.640 ; 16.940 ; 15.160 ; 59.000 ; 3.837 ; 36.444 ; 10.900 ; 13.300 ; 1.150 ; 2.050 ; 8.750 ; 8.870 ; 1.200 ; 610 
 26.080 ; 1.395 ; 36.860 ; 24.200 ; 8.760 ; 25.020 ; 1.885 ; 17.540 ; 1.170 ; 36.540 ; 25.740 ; 11.340 ; 16.900 ; 15.120 ; 58.900 ; 3.857 ; 35.870 ; 10.900 ; 13.280 ; 1.155 ; 2.040 ; 8.750 ; 8.900 ; 1.150 ; 605 
 25.640 ; 1.395 ; 37.700 ; 24.000 ; 8.900 ; 25.260 ; 1.885 ; 17.500 ; 1.150 ; 36.500 ; 25.800 ; 11.400 ; 16.800 ; 15.320 ; 58.860 ; 3.852 ; 36.578 ; 10.720 ; 13.200 ; 1.150 ; 2.075 ; 8.900 ; 8.760 ; 1.140 ; 598 
 25.640 ; 1.395 ; 37.700 ; 24.000 ; 8.900 ; 25.260 ; 1.885 ; 17.500 ; 1.150 ; 36.500 ; 25.800 ; 11.400 ; 16.800 ; 15.320 ; 58.860 ; 3.852 ; 36.578 ; 10.720 ; 13.200 ; 1.150 ; 2.075 ; 8.900 ; 8.760 ; 1.140 ; 598 
 25.280 ; 1.340 ; 37.200 ; 23.700 ; 8.800 ; 25.500 ; 1.860 ; 17.280 ; 1.135 ; 36.340 ; 26.200 ; 11.640 ; 16.600 ; 15.200 ; 58.900 ; 3.808 ; 37.209 ; 10.720 ; 13.480 ; 1.150 ; 2.020 ; 8.600 ; 8.940 ; 1.140 ; 593 
 25.360 ; 1.360 ; 37.380 ; 23.620 ; 8.860 ; 25.840 ; 1.825 ; 17.820 ; 1.155 ; 36.640 ; 26.300 ; 11.760 ; 17.000 ; 15.200 ; 58.500 ; 3.823 ; 36.903 ; 10.820 ; 13.180 ; 1.140 ; 2.010 ; 8.800 ; 9.150 ; 1.150 ; 600 
 25.440 ; 1.375 ; 37.660 ; 23.540 ; 8.810 ; 25.800 ; 1.830 ; 17.920 ; 1.155 ; 37.180 ; 26.420 ; 11.560 ; 17.200 ; 15.040 ; 58.800 ; 3.808 ; 36.654 ; 10.800 ; 12.980 ; 1.140 ; 2.020 ; 8.900 ; 9.210 ; 1.145 ; 599 
 25.720 ; 1.370 ; 37.800 ; 23.900 ; 8.810 ; 25.780 ; 1.820 ; 17.780 ; 1.160 ; 37.380 ; 26.860 ; 11.640 ; 17.000 ; 15.000 ; 58.800 ; 3.778 ; 36.444 ; 10.800 ; 12.860 ; 1.145 ; 2.455 ; 8.900 ; 9.300 ; 1.150 ; 594 
 25.720 ; 1.370 ; 37.800 ; 23.900 ; 8.810 ; 25.780 ; 1.820 ; 17.780 ; 1.160 ; 37.380 ; 26.860 ; 11.640 ; 17.000 ; 15.000 ; 58.800 ; 3.778 ; 36.444 ; 10.800 ; 12.860 ; 1.145 ; 2.455 ; 8.900 ; 9.300 ; 1.150 ; 594 
 25.200 ; 1.420 ; 38.100 ; 23.460 ; 8.890 ; 25.680 ; 1.825 ; 18.100 ; 1.160 ; 37.700 ; 26.800 ; 11.880 ; 17.400 ; 15.060 ; 59.100 ; 3.833 ; 37.152 ; 11.080 ; 12.700 ; 1.145 ; 2.500 ; 9.050 ; 10.180 ; 1.125 ; 601 
 25.980 ; 1.450 ; 38.900 ; 24.040 ; 8.850 ; 25.700 ; 1.820 ; 18.700 ; 1.175 ; 38.200 ; 26.900 ; 11.900 ; 17.820 ; 15.280 ; 59.000 ; 3.798 ; 36.501 ; 11.040 ; 12.740 ; 1.165 ; 2.480 ; 9.100 ; 10.540 ; 1.125 ; 597 
 25.900 ; 1.450 ; 38.820 ; 24.060 ; 8.860 ; 25.640 ; 1.815 ; 18.600 ; 1.170 ; 38.400 ; 27.040 ; 11.700 ; 17.980 ; 15.300 ; 59.480 ; 3.882 ; 36.348 ; 11.000 ; 12.840 ; 1.165 ; 2.745 ; 9.100 ; 10.600 ; 1.115 ; 598 
 25.440 ; 1.410 ; 38.440 ; 23.700 ; 8.830 ; 25.500 ; 1.820 ; 18.340 ; 1.170 ; 38.120 ; 27.000 ; 11.560 ; 17.960 ; 15.100 ; 59.500 ; 3.877 ; 36.386 ; 11.040 ; 12.900 ; 1.160 ; 2.640 ; 9.000 ; 10.200 ; 1.145 ; 601 
 25.300 ; 1.400 ; 38.740 ; 23.520 ; 8.800 ; 25.440 ; 1.810 ; 18.280 ; 1.170 ; 38.100 ; 27.060 ; 11.520 ; 17.420 ; 14.860 ; 59.480 ; 3.946 ; 36.731 ; 10.720 ; 12.800 ; 1.155 ; 2.600 ; 9.050 ; 10.360 ; 1.130 ; 601 
 25.140 ; 1.395 ; 37.800 ; 23.200 ; 8.720 ; 24.940 ; 1.780 ; 18.160 ; 1.170 ; 37.200 ; 27.340 ; 11.540 ; 17.520 ; 14.480 ; 59.480 ; 3.882 ; 36.348 ; 10.800 ; 12.640 ; 1.160 ; 2.620 ; 9.100 ; 10.220 ; 1.125 ; 601 
